                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4617,                 3.0253,                 1.3228,                0.00357,                0.90361,                0.57187,                0.29849,                 1.4559,                 3.6911,                 1.1922,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.4945,                 2.0846,                 1.2399,                0.53245,                0.28815,                0.30083,                0.12173,                 1.4555,                   3.48,                  1.232,              0.0013013,              0.0013013,              0.0013013
                      3,                 1.6204,                 2.0759,                 1.3317,                0.59421,                0.56457,                0.47579,                 0.2499,                 1.6015,                 2.9543,                 1.3163,              0.0019417,              0.0019417,              0.0019417
                      4,                 1.6035,                 1.9682,                 1.3658,                0.75119,                0.61446,                0.68364,                0.34487,                 1.6662,                 2.3809,                 1.4693,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5958,                 1.8818,                 1.3679,                0.85829,                0.57831,                0.68798,                0.39148,                 1.4783,                 2.1659,                 1.3841,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5474,                 1.7094,                 1.3156,                0.86108,                0.59036,                0.68468,                0.36572,                 1.5247,                 2.3714,                 1.3318,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5243,                  1.674,                   1.37,                 0.8867,                0.57831,                0.69071,                0.37915,                 1.5175,                 1.7703,                 1.3912,               0.001901,               0.001901,               0.001901
                      8,                 1.6417,                 1.5513,                 1.3804,                0.73643,                 0.6747,                0.67154,                0.40552,                  1.401,                 1.7161,                 1.3523,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5146,                 1.4946,                 1.3334,                0.87586,                 0.6801,                0.78653,                0.45789,                 1.3869,                 1.4119,                  1.296,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4722,                 1.3581,                 1.2983,                0.82597,                0.80059,                  0.836,                0.50201,                 1.5013,                 1.2092,                 1.3312,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.526,                 1.2872,                 1.3265,                0.76896,                0.84211,                0.82327,                0.48635,                 1.4164,                 1.3079,                 1.2999,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4436,                 1.2341,                  1.289,                 0.9045,                0.68468,                0.80332,                0.48748,                 1.4386,                 1.2784,                 1.2947,               0.001802,               0.001802,               0.001802
                     13,                 1.4721,                 1.2029,                 1.2871,                0.91817,                0.78313,                0.82544,                0.48357,                 1.4008,                 1.2429,                 1.2738,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4667,                 1.1953,                 1.2693,                0.90576,                 0.6747,                0.80805,                0.45281,                 1.4581,                  1.474,                 1.3182,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4518,                 1.1954,                 1.2666,                0.86226,                0.75427,                0.83416,                0.50938,                 1.3907,                 1.1207,                  1.257,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4734,                 1.1936,                 1.2656,                0.83924,                0.69193,                0.78142,                0.47101,                 1.3727,                 1.2425,                 1.2565,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4519,                 1.1193,                 1.2633,                0.92312,                 0.6988,                0.83865,                0.51906,                 1.3467,                 1.0964,                 1.2161,               0.001703,               0.001703,               0.001703
                     18,                 1.4035,                 1.0918,                 1.2713,                 0.8561,                0.79518,                0.82558,                 0.4822,                 1.3338,                 1.1276,                 1.2643,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3041,                 1.0395,                 1.2084,                0.76538,                0.81928,                0.85584,                0.52583,                 1.2494,                 1.0572,                 1.1838,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3502,                 1.0461,                 1.2176,                0.84364,                0.77108,                0.86342,                0.49095,                 1.4112,                  1.138,                 1.2584,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4356,                 1.0097,                 1.2771,                 0.8772,                 0.6988,                0.83619,                0.50767,                 1.3982,                 1.0617,                 1.2278,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.3658,                 1.0139,                 1.2118,                0.91431,                0.71084,                0.84971,                0.51302,                 1.3612,                0.98596,                 1.2431,               0.001604,               0.001604,               0.001604
                     23,                 1.3812,                  1.004,                 1.2593,                0.89638,                0.73494,                0.80684,                0.47863,                 1.4307,                 1.0908,                  1.301,              0.0015842,              0.0015842,              0.0015842
